week,executive,mean_score,n
2023-08-08,moncada,-0.24288890450500333,39
2023-08-15,cardinale,-0.02005623726555231,22
2023-08-15,furlani,-0.04845451621338725,25
2023-08-15,gazidis,0.1816069558262825,9
2023-08-15,ibrahimovic,-0.0911134035616159,41
2023-08-15,maldini,-0.33144415201630095,86
2023-08-15,massara,-0.49096484994515777,8
2023-08-15,moncada,0.1363176525059237,46
2023-08-22,cardinale,-0.08872193246497773,16
2023-08-22,furlani,-0.24257460392790994,19
2023-08-22,gazidis,-0.3130792678954701,3
2023-08-22,ibrahimovic,-0.15602721924131566,55
2023-08-22,maldini,-0.3235327437175565,73
2023-08-22,massara,-0.08005405476433225,16
2023-08-22,moncada,-0.08399997519882163,64
2023-08-29,cardinale,-0.28872104877206894,28
2023-08-29,furlani,-0.23635163008778667,54
2023-08-29,gazidis,0.8695385623723269,1
2023-08-29,ibrahimovic,-0.020495002047697965,57
2023-08-29,maldini,-0.26869204567783905,169
2023-08-29,massara,-0.19214279274456203,19
2023-08-29,moncada,-0.1336366931670609,53
2023-09-05,cardinale,-0.29888488608412445,12
2023-09-05,furlani,0.036859079089481384,8
2023-09-05,ibrahimovic,0.09259344467944983,36
2023-09-05,maldini,-0.2565290222151412,99
2023-09-05,massara,0.03283051960170269,2
2023-09-05,moncada,-0.1209644585615024,4
2023-09-12,cardinale,-0.20024856295407817,97
2023-09-12,furlani,-0.21652044552112265,42
2023-09-12,gazidis,-0.4026193916797638,1
2023-09-12,ibrahimovic,0.08447047977797995,109
2023-09-12,maldini,-0.2787858235329766,203
2023-09-12,massara,-0.29443978269894916,12
2023-09-12,moncada,-0.31633015448117957,34
2023-09-19,cardinale,-0.05133152642908196,15
2023-09-19,furlani,-0.07306572330916035,14
2023-09-19,ibrahimovic,0.05079937119695262,87
2023-09-19,maldini,-0.3126159256618634,34
2023-09-19,massara,-0.4660740168765187,2
2023-09-19,moncada,-0.23980652389582247,12
2023-09-26,cardinale,-0.06685021365992724,10
2023-09-26,furlani,0.28455323913866387,14
2023-09-26,gazidis,0.7901105871424079,2
2023-09-26,ibrahimovic,-0.048163656430351066,58
2023-09-26,maldini,-0.09863622441355671,35
2023-09-26,massara,0.4165055174380541,2
2023-09-26,moncada,0.29858353012241423,4
2023-10-03,cardinale,-0.2918266766704619,5
2023-10-03,furlani,0.008922508005828908,12
2023-10-03,ibrahimovic,0.005435010250948835,64
2023-10-03,maldini,0.06606382268170516,15
2023-10-03,moncada,-0.23608322434592993,5
2023-10-10,cardinale,-0.07870266919157334,14
2023-10-10,furlani,-0.178689647000283,6
2023-10-10,ibrahimovic,-0.04169635605843117,60
2023-10-10,maldini,0.08190300150582676,34
2023-10-10,massara,0.02396056125871837,2
2023-10-10,moncada,0.06059593730606139,9
2023-10-17,cardinale,-0.009485967069243392,6
2023-10-17,furlani,0.15655539748591504,14
2023-10-17,ibrahimovic,-0.12712978913673553,29
2023-10-17,maldini,-0.21962158244757637,37
2023-10-17,massara,-0.009155582636594772,4
2023-10-17,moncada,0.37584310051841807,13
2023-10-24,cardinale,-0.3117276933671047,26
2023-10-24,furlani,-0.25752938135216635,33
2023-10-24,ibrahimovic,0.01916441096339972,106
2023-10-24,maldini,-0.3067040873626892,101
2023-10-24,massara,-0.3111559959195022,7
2023-10-24,moncada,-0.26840732366476644,17
2023-10-31,cardinale,-0.16365003796068556,33
2023-10-31,furlani,-0.3413392321113497,25
2023-10-31,gazidis,-0.9371418687514961,1
2023-10-31,ibrahimovic,-0.009901965719422904,203
2023-10-31,maldini,-0.30983712492751647,143
2023-10-31,massara,-0.5396859144998921,9
2023-10-31,moncada,-0.22660992297321736,21
2023-11-07,cardinale,-0.283920539785771,47
2023-11-07,furlani,-0.21329510146156386,43
2023-11-07,ibrahimovic,0.04884706978536599,137
2023-11-07,maldini,-0.32048647050858936,107
2023-11-07,massara,-0.31829423115899164,3
2023-11-07,moncada,0.027102557504549624,25
2023-11-14,cardinale,0.11413292028009892,1
2023-11-14,furlani,0.016877786139957607,8
2023-11-14,ibrahimovic,0.11357077760233854,24
2023-11-14,maldini,-0.19609461257685767,33
2023-11-14,massara,0.05259398949177315,6
2023-11-14,moncada,0.07343142593334265,17
2023-11-21,cardinale,-0.09207317655285199,15
2023-11-21,furlani,-0.24381828302813863,11
2023-11-21,ibrahimovic,-0.049437708166592265,17
2023-11-21,maldini,-0.2996190889971331,16
2023-11-21,moncada,0.019298843728999298,3
2023-11-28,cardinale,-0.27272829108000934,115
2023-11-28,furlani,-0.3141590585947211,139
2023-11-28,gazidis,-0.43302387921139596,10
2023-11-28,ibrahimovic,-0.11116243648752006,99
2023-11-28,maldini,-0.3274614546055995,354
2023-11-28,massara,-0.22015280016785255,32
2023-11-28,moncada,-0.20396680934033518,29
2023-12-05,cardinale,0.07932685444018606,33
2023-12-05,furlani,-0.391211397754138,17
2023-12-05,ibrahimovic,-0.028895950906711522,61
2023-12-05,maldini,-0.40091175065479345,45
2023-12-05,massara,-0.1457193779448668,3
2023-12-05,moncada,-0.03678121876437217,5
2023-12-12,cardinale,-0.19468731462256983,16
2023-12-12,furlani,-0.15806917659938335,25
2023-12-12,gazidis,-0.4145765439607203,2
2023-12-12,ibrahimovic,-0.09405231332505641,61
2023-12-12,maldini,-0.19781025203410535,30
2023-12-12,massara,-0.270913677290082,5
2023-12-12,moncada,-0.17153434397963185,15
2023-12-19,cardinale,-0.26441812829808425,51
2023-12-19,furlani,-0.21149373301980837,31
2023-12-19,gazidis,-0.21464724885299802,3
2023-12-19,ibrahimovic,-0.052693166859847096,70
2023-12-19,maldini,-0.27497584813826453,151
2023-12-19,massara,-0.3377169251907617,12
2023-12-19,moncada,-0.39327737311832606,15
2023-12-26,cardinale,-0.27683673953704,14
2023-12-26,furlani,-0.2718846803634531,9
2023-12-26,gazidis,-0.9732616352848709,1
2023-12-26,ibrahimovic,0.31733206866516006,9
2023-12-26,maldini,-0.36655539282153105,22
2023-12-26,moncada,-0.13069658860779151,13
2024-01-02,cardinale,-0.5921395017455021,3
2024-01-02,furlani,-0.2844825165346265,5
2024-01-02,ibrahimovic,0.011625731939619239,55
2024-01-02,maldini,-0.3965117507889916,38
2024-01-02,massara,0.11370935291051865,1
2024-01-02,moncada,-0.08183086084734116,21
2024-01-09,cardinale,-0.1787841384357307,16
2024-01-09,furlani,-0.21482545688631943,20
2024-01-09,ibrahimovic,0.06081381933869456,44
2024-01-09,maldini,-0.17668918734416367,60
2024-01-09,massara,0.2467698079223434,6
2024-01-09,moncada,-0.060518198646605015,7
2024-01-16,cardinale,-0.2585212793302439,46
2024-01-16,furlani,-0.37634951647614007,23
2024-01-16,ibrahimovic,-0.1664350682970237,37
2024-01-16,maldini,-0.181673756276723,60
2024-01-16,massara,0.03769434075802565,5
2024-01-16,moncada,-0.1596669281211992,15
2024-01-23,cardinale,-0.25844185889281074,29
2024-01-23,furlani,-0.1585597075966441,22
2024-01-23,gazidis,-0.07658442901447415,2
2024-01-23,ibrahimovic,-0.026478973963094177,64
2024-01-23,maldini,0.026183743674773722,50
2024-01-23,massara,-0.2092285454273224,1
2024-01-23,moncada,-0.13182607386261225,12
2024-01-30,cardinale,-0.31296610963414423,100
2024-01-30,furlani,-0.22688706281503113,71
2024-01-30,gazidis,-0.501328278650445,11
2024-01-30,ibrahimovic,-0.13432250452716266,82
2024-01-30,maldini,-0.23561526556125287,188
2024-01-30,massara,-0.25387191553326216,17
2024-01-30,moncada,0.06855963113690343,34
2024-02-06,cardinale,-0.2327088674145012,87
2024-02-06,furlani,-0.0969581323582679,25
2024-02-06,gazidis,-0.9009442320093513,1
2024-02-06,ibrahimovic,0.052640104920841584,43
2024-02-06,maldini,-0.1934772603856843,105
2024-02-06,massara,-0.19121617439668626,8
2024-02-06,moncada,-0.41379146227105096,11
2024-02-13,cardinale,-0.18760238537894716,72
2024-02-13,furlani,-0.2175010435457807,16
2024-02-13,gazidis,0.12711434438824654,2
2024-02-13,ibrahimovic,0.15392353005633438,82
2024-02-13,maldini,-0.19998830351127814,104
2024-02-13,massara,-0.1274065931460687,7
2024-02-13,moncada,0.032703842296121784,13
2024-02-20,cardinale,-0.36865800677665644,70
2024-02-20,furlani,-0.44394644700071734,23
2024-02-20,gazidis,-0.6797565047828746,7
2024-02-20,ibrahimovic,-0.0013859257712189493,58
2024-02-20,maldini,-0.25270182123622076,63
2024-02-20,massara,0.13983819633722305,2
2024-02-20,moncada,-0.03088914630934596,5
2024-02-27,cardinale,-0.025578440085519107,50
2024-02-27,furlani,-0.13020122743381018,22
2024-02-27,gazidis,-0.7786289462819695,1
2024-02-27,ibrahimovic,-0.03357479299402571,116
2024-02-27,maldini,-0.11390091667705204,89
2024-02-27,massara,0.10415855818428099,10
2024-02-27,moncada,-0.11275917255658317,11
2024-03-05,cardinale,-0.3112895210929723,44
2024-03-05,furlani,0.011445846408605576,8
2024-03-05,gazidis,-0.1812412589788437,1
2024-03-05,ibrahimovic,-0.06372689371628146,62
2024-03-05,maldini,-0.27848123048693596,57
2024-03-05,massara,-0.8347051283344626,2
2024-03-05,moncada,-0.15747053236700595,10
2024-03-12,cardinale,-0.3187482199641539,94
2024-03-12,furlani,-0.35094672861353804,30
2024-03-12,gazidis,-0.3814685114659369,10
2024-03-12,ibrahimovic,0.17113939257576427,47
2024-03-12,maldini,-0.11894284923921146,53
2024-03-12,moncada,-0.020687882788479328,4
2024-03-19,cardinale,-0.2738961967018743,6
2024-03-19,furlani,-0.2715544756501913,3
2024-03-19,ibrahimovic,0.22261306874045148,41
2024-03-19,maldini,0.13415226840414107,75
2024-03-19,massara,-0.06841903924942017,1
2024-03-19,moncada,0.4628443310037255,5
2024-03-26,cardinale,-0.21728587860707194,24
2024-03-26,furlani,-0.2734489283627934,27
2024-03-26,gazidis,0.35820576490368694,2
2024-03-26,ibrahimovic,-0.049468933816944415,68
2024-03-26,maldini,-0.1452742889671335,63
2024-03-26,massara,-0.3710383618250489,5
2024-03-26,moncada,0.1744486866962342,21
2024-04-02,cardinale,-0.1047260750534146,28
2024-04-02,furlani,-0.11628195283907082,34
2024-04-02,gazidis,-0.7618216335540637,6
2024-04-02,ibrahimovic,-0.020835470252980787,36
2024-04-02,maldini,-0.32971294195500805,34
2024-04-02,moncada,0.027572507821023464,25
2024-04-09,cardinale,-0.15516098618224664,56
2024-04-09,furlani,-0.3263848820490585,42
2024-04-09,gazidis,-0.540177880320698,4
2024-04-09,ibrahimovic,-0.00919880243923722,72
2024-04-09,maldini,-0.255854238970055,62
2024-04-09,massara,-0.4390599295496941,10
2024-04-09,moncada,0.1338936273172936,17
2024-04-16,cardinale,-0.18416832755571483,111
2024-04-16,furlani,-0.3080617299868858,70
2024-04-16,gazidis,-0.27870047744363546,4
2024-04-16,ibrahimovic,-0.0939110944653669,126
2024-04-16,maldini,-0.29050065514427725,249
2024-04-16,massara,-0.260987692134222,16
2024-04-16,moncada,-0.1516955962482219,24
2024-04-23,cardinale,-0.1855932509249268,136
2024-04-23,furlani,-0.30295446187842684,82
2024-04-23,gazidis,-0.5948511399328709,3
2024-04-23,ibrahimovic,-0.021656467110203036,203
2024-04-23,maldini,-0.2499667736091873,231
2024-04-23,massara,-0.15666724493106207,12
2024-04-23,moncada,-0.050071637544072053,67
2024-04-30,cardinale,-0.24579650391519192,61
2024-04-30,furlani,-0.38133600499480963,50
2024-04-30,ibrahimovic,-0.07038521498907357,105
2024-04-30,maldini,-0.2675964365529657,142
2024-04-30,massara,-0.2544094269925898,11
2024-04-30,moncada,-0.15022373995564592,26
2024-05-07,cardinale,-0.3659735359514372,62
2024-05-07,furlani,-0.29152411920949817,24
2024-05-07,gazidis,-0.15325833314896695,7
2024-05-07,ibrahimovic,-0.00595658749807626,48
2024-05-07,maldini,-0.26836715518780374,115
2024-05-07,massara,-0.22075639059767127,7
2024-05-07,moncada,0.10140648082874361,21
2024-05-14,cardinale,-0.3521976389628704,142
2024-05-14,furlani,-0.35080830181860145,42
2024-05-14,gazidis,-0.25273694957678133,13
2024-05-14,ibrahimovic,-0.1214240564047085,68
2024-05-14,maldini,-0.33610598327421926,167
2024-05-14,massara,-0.1780210894299671,15
2024-05-14,moncada,-0.051594643983716035,34
2024-05-21,cardinale,-0.26323181513597615,136
2024-05-21,furlani,-0.36085398763804355,41
2024-05-21,gazidis,-0.031433936363706984,3
2024-05-21,ibrahimovic,-0.15541287489026656,145
2024-05-21,maldini,-0.2903843113776179,206
2024-05-21,massara,-0.19095002725953236,16
2024-05-21,moncada,-0.07939024532097391,40
2024-05-28,cardinale,-0.29180621077916036,68
2024-05-28,furlani,-0.31819250740405475,49
2024-05-28,gazidis,-0.651910901380082,3
2024-05-28,ibrahimovic,0.03799287496238119,63
